src_id,direction,geom_points,os_speed
osgb4000000020974087,-1,"((-3.4417910677923569, 50.792079191492356), (-3.4417757082519969, 50.792133340176953))",37.5
osgb4000000020974087,1,"((-3.4420315791778142, 50.792147413728216), (-3.4420162196374542, 50.792201562412814))",37.5
osgb4000000020925857,-1,"((-3.441601327361171, 50.792985752377099), (-3.4415948715141411, 50.793131448905498))",37.5
osgb4000000020925857,1,"((-3.4418510822973936, 50.792996819076357), (-3.4418446264503637, 50.793142515604757))",37.5
osgb4000000020925858,1,"((-3.4423429217169024, 50.79694693797218), (-3.442092610721732, 50.797297167783874))",37.5
osgb4000000020925858,-1,"((-3.4421395286913152, 50.796801571961218), (-3.4418892176961449, 50.797151801772912))",37.5
osgb4000000020947731,-1,"((-3.4365355015479224, 50.801099537473576), (-3.4356218074782423, 50.801569437579076))",37.5
osgb4000000020947731,1,"((-3.4366498386084663, 50.801321859394641), (-3.4357361445387862, 50.801791759500141))",37.5
osgb4000000020920690,1,"((-3.4410586636834428, 50.798368488950238), (-3.4406924064377131, 50.798732738572333))",37.5
osgb4000000020920690,-1,"((-3.4408823734824212, 50.798191227095842), (-3.4405161162366915, 50.798555476717937))",37.5
osgb4000000020934456,-1,"((-3.4371795247446828, 50.800778108718447), (-3.4365365807142028, 50.801098990702251))",37.5
osgb4000000020934456,1,"((-3.437291163889526, 50.801001797567828), (-3.436648219859046, 50.801322679551632))",37.5
osgb4000000020975234,-1,"((-3.4356141558163995, 50.80157380936609), (-3.4355473310995794, 50.80161600028579))",37.5
osgb4000000020975234,1,"((-3.4357476220315504, 50.801785201819627), (-3.4356807973147303, 50.801827392739327))",37.5
osgb4000000020934460,-1,"((-3.4355585137256703, 50.801609899480972), (-3.4353402442608507, 50.801711510322271))",37.5
osgb4000000020934460,1,"((-3.435664023375594, 50.801836543946543), (-3.4354457539107743, 50.801938154787841))",37.5
osgb4000000020934461,1,"((-3.4345816664073743, 50.802372566737532), (-3.4341685378882643, 50.802584758906931))",37.5
osgb4000000020934461,-1,"((-3.4344674460290334, 50.80215018484715), (-3.4340543175099234, 50.80236237701655))",37.5
osgb4000000020925862,1,"((-3.4326010291668334, 50.803404644807017), (-3.4322159178775236, 50.803600801830015))",37.5
osgb4000000020925862,-1,"((-3.432487562301878, 50.803181877505651), (-3.4321024510125682, 50.803378034528649))",37.5
osgb4000000020925989,1,"((-3.4301679255633717, 50.804651385682014), (-3.4297903962030718, 50.804857612783913))",37.5
osgb4000000020925989,-1,"((-3.4300480772922022, 50.804431985609327), (-3.4296705479319023, 50.804638212711225))",37.5
osgb4000000020934543,1,"((-3.4284135106434603, 50.80571227648575), (-3.4281046869512601, 50.80592228797375))",37.5
